,max,min,val_of_30day,max_after_30day,target,length
0,224.0,185.0,207.0,221.0,1.0,65.0
1,1125.0,940.0,1040.0,1050.0,1.00961538462,43.0
2,809.0,645.0,766.0,809.0,1.05613577023,76.0
3,159.0,141.0,143.0,143.0,1.0,31.0
4,1059.0,894.0,959.0,1059.0,1.0,53.0
5,746.1,677.5,728.8,735.6,1.00933040615,37.0
6,1730.0,1013.33,1146.67,1730.0,1.50871654443,106.0
7,1365.0,1243.0,1247.0,1247.0,1.0,31.0
8,1563.0,1308.0,1450.0,1563.0,1.0,45.0
9,1456.0,1236.5,1398.5,1456.0,1.04111548087,46.0
10,805.0,609.0,784.0,784.0,1.0,44.0
11,3970.0,3160.0,3730.0,3970.0,1.06434316354,64.0
12,816.0,684.0,780.0,816.0,1.0,57.0
13,153.0,101.0,133.0,153.0,1.0,88.0
14,3820.0,2575.0,3230.0,3820.0,1.1826625387,88.0
15,1403.0,1243.5,1367.5,1376.0,1.00621572212,37.0
16,539.0,439.0,485.0,539.0,1.11134020619,52.0
17,2942.0,2514.0,2897.5,2923.0,1.00880069025,55.0
18,1695.0,1521.0,1658.0,1658.0,1.0,40.0
19,1193.0,790.0,1149.0,1149.0,1.0,42.0
20,1388.0,1259.0,1364.0,1364.0,1.0,33.0
21,848.0,693.0,818.0,848.0,1.0,44.0
22,2960.0,2545.0,2710.0,2710.0,1.0,33.0
23,2721.0,1713.0,1941.5,2721.0,1.40149369045,140.0
24,1940.0,1550.0,1920.0,1940.0,1.01041666667,56.0
25,2565.0,1518.0,1730.0,2565.0,1.0,159.0
26,2045.0,1356.0,1656.0,2045.0,1.0,82.0
27,27795.0,20020.0,27185.0,27685.0,1.0,60.0
28,1680.0,1448.0,1590.0,1680.0,1.0,52.0
29,3340.0,2928.0,3155.0,3275.0,1.03803486529,39.0
30,2281.0,2070.0,2231.0,2281.0,1.02241147468,50.0
31,4390.0,3770.0,4180.0,4390.0,1.05023923445,71.0
32,5020.0,3215.0,4260.0,5020.0,1.0,90.0
33,437.0,383.0,413.0,437.0,1.05811138015,77.0
34,1078.0,802.0,960.0,1078.0,1.0,75.0
35,4550.0,4134.0,4299.0,4299.0,1.0,32.0
36,559.0,423.0,479.0,559.0,1.0,87.0
37,1214.0,1057.0,1144.0,1144.0,1.0,32.0
38,1920.0,1762.5,1822.5,1920.0,1.05349794239,48.0
39,828.0,584.0,771.0,828.0,1.0,54.0
40,1390.0,1146.0,1196.0,1390.0,1.16220735786,69.0
41,4185.0,3760.0,3825.0,4185.0,1.0,69.0
42,519.0,389.0,442.0,519.0,1.0,64.0
43,2190.0,1233.0,1633.0,2190.0,1.34109001837,101.0
44,255.0,168.0,191.0,255.0,1.0,71.0
45,958.0,871.0,891.0,891.0,1.0,32.0
46,2469.0,2188.0,2423.0,2423.0,1.0,33.0
47,384.0,278.4,322.0,384.0,1.19254658385,88.0
48,1562.0,1275.0,1407.0,1562.0,1.11016346837,70.0
49,235.0,201.0,213.0,235.0,1.0,41.0
50,153.0,123.0,153.0,153.0,1.0,57.0
51,447.0,362.0,362.0,362.0,1.0,31.0
52,7560.0,6160.0,6890.0,6890.0,1.0,32.0
53,798.4,607.4,697.2,798.4,1.14515203672,75.0
54,446.0,317.0,350.0,446.0,1.0,92.0
55,2230.0,1690.0,2230.0,2230.0,1.0,49.0
56,464.0,395.0,445.0,464.0,1.04269662921,49.0
57,8195.0,7497.0,8077.0,8111.0,1.00420948372,40.0
58,2357.5,1950.5,2241.0,2331.5,1.04038375725,48.0
59,426.0,353.0,403.0,414.0,1.0,48.0
60,145.0,107.0,128.0,145.0,1.1328125,64.0
61,641.0,428.0,527.0,641.0,1.21631878558,83.0
62,348.0,320.0,346.0,346.0,1.0,38.0
63,2615.0,2264.0,2435.0,2436.0,1.00041067762,35.0
64,1400.0,950.0,1155.0,1400.0,1.0,77.0
65,7827.0,7387.0,7692.0,7704.0,1.0,37.0
66,684.0,584.0,608.0,684.0,1.125,64.0
67,1089.0,992.0,1019.0,1019.0,1.0,32.0
