Date,Open,High,Low,Close,Volume,Adj Close
2008-10-20,439.0,469.0,428.0,468.0,6939500,468.0
2008-10-21,488.0,493.0,459.0,485.0,4786500,485.0
2008-10-22,460.0,461.0,425.0,425.0,5596500,425.0
2008-10-23,410.0,428.0,401.0,427.0,7210500,427.0
2008-10-24,428.0,428.0,390.0,392.0,7183000,392.0
2008-10-27,392.0,396.0,335.0,335.0,7605000,335.0
2008-10-28,338.0,390.0,332.0,390.0,9123500,390.0
2008-10-29,405.0,408.0,355.0,377.0,10058000,377.0
2008-10-30,400.0,437.0,395.0,433.0,6998000,433.0
2008-10-31,438.0,438.0,380.0,390.0,6624500,390.0
2008-11-04,399.0,412.0,386.0,408.0,7392500,408.0
2008-11-05,420.0,427.0,411.0,424.0,7689000,424.0
2008-11-06,410.0,416.0,404.0,409.0,4122500,409.0
2008-11-07,389.0,411.0,384.0,396.0,4730500,396.0
2008-11-10,416.0,421.0,402.0,415.0,4055500,415.0
2008-11-11,406.0,413.0,393.0,399.0,2876500,399.0
2008-11-12,394.0,405.0,390.0,396.0,2959500,396.0
2008-11-13,376.0,377.0,353.0,362.0,5781500,362.0
2008-11-14,369.0,398.0,366.0,370.0,5653500,370.0
2008-11-17,368.0,384.0,356.0,368.0,3518000,368.0
2008-11-18,363.0,372.0,358.0,362.0,4534000,362.0
2008-11-19,362.0,371.0,361.0,369.0,4121000,369.0
2008-11-20,364.0,370.0,356.0,358.0,4822500,358.0
2008-11-21,348.0,369.0,336.0,366.0,5242000,366.0
2008-11-25,386.0,394.0,360.0,379.0,5282500,379.0
2008-11-26,369.0,376.0,362.0,371.0,3645500,371.0
2008-11-27,379.0,383.0,376.0,382.0,3635500,382.0
2008-11-28,384.0,399.0,382.0,399.0,3329500,399.0
2008-12-01,406.0,406.0,391.0,398.0,2514000,398.0
2008-12-02,368.0,379.0,361.0,361.0,3320000,361.0
2008-12-03,377.0,383.0,370.0,378.0,3157500,378.0
2008-12-04,385.0,389.0,374.0,377.0,3572500,377.0
2008-12-05,384.0,397.0,382.0,383.0,4491500,383.0
2008-12-08,373.0,408.0,373.0,403.0,2922500,403.0
2008-12-09,404.0,410.0,391.0,398.0,3848000,398.0
2008-12-10,409.0,421.0,394.0,419.0,3906000,419.0
2008-12-11,405.0,420.0,402.0,417.0,5264000,417.0
2008-12-12,398.0,408.0,386.0,398.0,6181000,398.0
2008-12-15,408.0,418.0,399.0,414.0,3904000,414.0
2008-12-16,409.0,412.0,399.0,404.0,3936500,404.0
2008-12-17,405.0,408.0,384.0,398.0,5857000,398.0
2008-12-18,390.0,399.0,386.0,398.0,3011500,398.0
2008-12-19,389.0,403.0,388.0,390.0,3360500,390.0
2008-12-22,387.0,391.0,364.0,365.0,7769000,365.0
2008-12-24,365.0,371.0,362.0,369.0,2978500,369.0
2008-12-25,384.0,385.0,370.0,380.0,1806500,380.0
2008-12-26,385.0,401.0,385.0,399.0,3446500,399.0
2008-12-29,398.0,405.0,398.0,400.0,2218500,400.0
2008-12-30,392.0,397.0,390.0,393.0,1921000,393.0
2009-01-05,408.0,418.0,407.0,414.0,2735000,414.0
2009-01-06,423.0,436.0,420.0,433.0,5278000,433.0
2009-01-07,437.0,449.0,435.0,441.0,7056000,441.0
2009-01-08,423.0,424.0,408.0,409.0,4320000,409.0
2009-01-09,407.0,414.0,399.0,402.0,3505500,402.0
2009-01-13,379.0,382.0,375.0,378.0,3708500,378.0
2009-01-14,378.0,391.0,378.0,386.0,3161500,386.0
2009-01-15,376.0,378.0,369.0,371.0,4140000,371.0
2009-01-16,389.0,392.0,382.0,391.0,3485500,391.0
2009-01-19,395.0,401.0,387.0,387.0,1785500,387.0
2009-01-20,381.0,382.0,370.0,377.0,3342000,377.0
2009-01-21,367.0,368.0,360.0,361.0,3971000,361.0
2009-01-22,368.0,372.0,347.0,354.0,5829000,354.0
2009-01-23,355.0,355.0,345.0,346.0,4144500,346.0
2009-01-26,344.0,365.0,344.0,357.0,4540000,357.0
2009-01-27,352.0,371.0,352.0,366.0,4375500,366.0
2009-01-28,371.0,378.0,363.0,371.0,3053500,371.0
2009-01-29,376.0,384.0,376.0,382.0,3758500,382.0
2009-01-30,378.0,384.0,369.0,373.0,5416000,373.0
2009-02-02,363.0,374.0,359.0,364.0,3799000,364.0
2009-02-03,369.0,377.0,358.0,363.0,5935000,363.0
2009-02-04,363.0,375.0,356.0,370.0,8947500,370.0
2009-02-05,370.0,373.0,358.0,365.0,4494500,365.0
2009-02-06,375.0,378.0,362.0,366.0,3133500,366.0
2009-02-09,371.0,374.0,350.0,351.0,4686500,351.0
2009-02-10,347.0,355.0,340.0,341.0,4806000,341.0
2009-02-12,333.0,334.0,323.0,327.0,5193000,327.0
2009-02-13,331.0,340.0,327.0,332.0,3835000,332.0
2009-02-16,332.0,337.0,328.0,335.0,2608000,335.0
2009-02-17,330.0,339.0,330.0,332.0,2988500,332.0
2009-02-18,326.0,331.0,320.0,328.0,3133500,328.0
2009-02-19,332.0,332.0,321.0,326.0,3745000,326.0
