Date,Open,High,Low,Close,Volume,Adj Close,Average
2015-01-30,6872,6908,6826,6874,846300,6874,6835.84
2015-02-02,6843,6884,6821,6848,433500,6848,6829.54
2015-02-03,6882,6930,6821,6850,838000,6850,6830.76
2015-02-04,6978,7033,6935,7007,973900,7007,6831.84
2015-02-05,6995,7005,6905,6930,665000,6930,6832.38
2015-02-06,7030,7050,6965,7015,514700,7015,6835.7
2015-02-09,7048,7099,6957,6994,742800,6994,6838.78
2015-02-10,7047,7075,6933,7000,760300,7000,6843.52
2015-02-12,7130,7180,7033,7130,725100,7130,6850.94
2015-02-13,7038,7081,7016,7031,936600,7031,6856.72
2015-02-16,7044,7079,7007,7071,531900,7071,6860.86
2015-02-17,7062,7124,7045,7096,669700,7096,6865.32
2015-02-18,7183,7270,7182,7233,860900,7233,6872.24
2015-02-19,7224,7294,7221,7267,630000,7267,6879.46
2015-02-20,7295,7298,7238,7296,667400,7296,6887.04
2015-02-23,7380,7380,7303,7330,571200,7330,6896.32
2015-02-24,7330,7388,7316,7380,697300,7380,6904.8
2015-02-25,7426,7430,7328,7344,594200,7344,6911.2
2015-02-26,7370,7434,7349,7429,470300,7429,6923.94
2015-02-27,7477,7483,7406,7447,884300,7447,6938.22
2015-03-02,7486,7519,7430,7465,583600,7465,6951.92
2015-03-03,7506,7506,7420,7446,441900,7446,6966.66
2015-03-04,7393,7430,7365,7406,440200,7406,6982.52
2015-03-05,7462,7462,7401,7440,555900,7440,6999.12
2015-03-06,7450,7592,7426,7592,679300,7592,7014.02
2015-03-09,7593,7628,7493,7595,796400,7595,7026.18
2015-03-10,7606,7632,7416,7497,1093900,7497,7035.72
2015-03-11,7465,7544,7425,7499,693700,7499,7043.72
2015-03-12,7545,7595,7513,7574,530600,7574,7053.16
2015-03-13,7677,7677,7524,7648,2189000,7648,7063.94
2015-03-16,7640,7709,7596,7647,672400,7647,7075.76
2015-03-17,7727,7765,7667,7762,627800,7762,7092.1
2015-03-18,7735,7864,7717,7862,881400,7862,7112.38
2015-03-19,7831,7944,7811,7926,938300,7926,7138.66
2015-03-20,7976,8135,7890,8135,1084700,8135,7170.18
2015-03-23,8150,8242,8143,8203,783200,8203,7201.24
2015-03-24,8205,8247,8162,8196,810700,8196,7231.92
2015-03-25,8205,8237,8107,8227,765300,8227,7262.8
2015-03-26,8200,8226,8113,8157,675800,8157,7294.38
2015-03-27,8100,8318,7994,8104,1151300,8104,7321.36
2015-03-30,8120,8129,8033,8086,624100,8086,7349.76
2015-03-31,8096,8179,7983,8025,1276000,8025,7374.94
2015-04-01,8001,8086,7857,7945,1234100,7945,7396.34
2015-04-02,7945,8100,7940,8050,846700,8050,7420.14
2015-04-03,8052,8163,8050,8110,438100,8110,7445.88
2015-04-06,8050,8140,8044,8125,377300,8125,7471.02
2015-04-07,8157,8212,8117,8197,749100,8197,7499.62
2015-04-08,8242,8377,8159,8347,1059600,8347,7529.44
2015-04-09,8422,8553,8399,8550,1220000,8550,7563.44
2015-04-10,8550,8621,8482,8601,1683100,8601,7599.78
2015-04-13,8602,8657,8576,8633,1015000,8633,7634.96
2015-04-14,8554,8714,8551,8671,826400,8671,7671.42
2015-04-15,8635,8728,8614,8686,1048300,8686,7708.14
2015-04-16,8702,8754,8636,8749,1141500,8749,7742.98
2015-04-17,8700,8724,8629,8667,1452200,8667,7777.72
2015-04-20,8560,8681,8485,8581,872900,8581,7809.04
2015-04-21,8662,8787,8584,8787,1080300,8787,7844.9
2015-04-22,8811,9041,8784,9022,1340300,9022,7885.34
2015-04-23,9005,9029,8941,8971,1151200,8971,7922.16
2015-04-24,8901,8950,8595,8611,1705600,8611,7953.76
2015-04-27,8630,8699,8597,8631,867400,8631,7984.96
2015-04-28,8720,8735,8640,8670,1024600,8670,8016.44
2015-04-30,8694,8720,8492,8492,1461500,8492,8041.62
2015-05-01,8515,8541,8452,8532,574100,8532,8066.92
2015-05-07,8489,8518,8382,8389,870800,8389,8088.78
2015-05-08,8389,8535,8383,8499,831000,8499,8112.16
2015-05-11,8649,8699,8499,8695,783900,8695,8138.46
2015-05-12,8400,8497,8179,8240,1488200,8240,8156.38
2015-05-13,8225,8365,8141,8311,1164800,8311,8174.02
2015-05-14,8325,8389,8277,8316,844200,8316,8191.4
2015-05-15,8330,8380,8285,8348,614300,8348,8209.06
2015-05-18,8347,8368,8310,8344,581400,8344,8227.02
2015-05-19,8358,8416,8302,8382,743600,8382,8246.54
2015-05-20,8480,8572,8462,8495,750300,8495,8267.64
2015-05-21,8523,8600,8500,8543,461000,8543,8286.66
2015-05-22,8580,8580,8418,8470,544500,8470,8304.16
2015-05-25,8439,8488,8408,8453,557300,8453,8323.28
2015-05-26,8452,8559,8452,8538,538400,8538,8344.06
2015-05-27,8565,8619,8519,8568,633600,8568,8363.94
2015-05-28,8600,8600,8455,8490,701400,8490,8380.78
2015-05-29,8470,8529,8311,8311,1270100,8311,8394.06
