Date,Open,High,Low,Close,Volume,Adj Close,Average
2015-10-23,4214.0,4300.0,4200.0,4283.0,4379400.0,4283.0,4158.08
2015-10-26,4283.0,4299.0,4204.0,4229.0,3487600.0,4229.0,4148.13
2015-10-27,4248.0,4288.0,4153.0,4169.0,2770600.0,4169.0,4138.32
2015-10-28,4152.0,4157.0,4085.0,4135.0,3289100.0,4135.0,4128.72
2015-10-29,4206.0,4224.0,4111.0,4151.0,2288200.0,4151.0,4118.81
2015-10-30,4117.0,4246.0,4102.0,4211.0,3029100.0,4211.0,4108.6
2015-11-02,4105.0,4141.0,4061.0,4124.0,3166500.0,4124.0,4096.62
2015-11-04,4200.0,4242.0,4158.0,4158.0,3235900.0,4158.0,4087.14
2015-11-05,4390.0,4508.0,4343.0,4442.0,7112500.0,4442.0,4086.25
2015-11-06,4421.0,4464.0,4368.0,4400.0,3520400.0,4400.0,4085.51
2015-11-09,4430.0,4496.0,4411.0,4455.0,3304000.0,4455.0,4090.87
2015-11-10,4385.0,4450.0,4381.0,4443.0,2484200.0,4443.0,4100.04
2015-11-11,4470.0,4526.0,4460.0,4475.0,2518300.0,4475.0,4107.94
2015-11-12,4425.0,4442.0,4290.0,4430.0,4029500.0,4430.0,4112.8
2015-11-13,4338.0,4432.0,4337.0,4428.0,2537100.0,4428.0,4115.36
2015-11-16,4370.0,4457.0,4361.0,4417.0,1836600.0,4417.0,4117.11
2015-11-17,4475.0,4508.0,4442.0,4448.0,3251800.0,4448.0,4123.02
2015-11-18,4482.0,4508.0,4445.0,4450.0,2850600.0,4450.0,4127.33
2015-11-19,4451.0,4549.0,4401.0,4526.0,4615300.0,4526.0,4131.36
2015-11-20,4515.0,4547.0,4486.0,4534.0,3378200.0,4534.0,4137.97
2015-11-24,4552.0,4570.0,4518.0,4557.0,2543900.0,4557.0,4146.55
2015-11-25,4556.0,4579.0,4516.0,4556.0,2817300.0,4556.0,4157.24
2015-11-26,4486.0,4524.0,4486.0,4511.0,3481400.0,4511.0,4162.52
2015-11-27,4525.0,4537.0,4482.0,4495.0,2205100.0,4495.0,4169.66
2015-11-30,4485.0,4492.0,4376.0,4410.0,4749400.0,4410.0,4176.65
2015-12-01,4401.0,4450.0,4382.0,4450.0,2634300.0,4450.0,4185.13
2015-12-02,4454.0,4480.0,4409.0,4448.0,2137500.0,4448.0,4191.81
2015-12-03,4450.0,4500.0,4441.0,4494.0,1902300.0,4494.0,4199.23
2015-12-04,4411.0,4430.0,4388.0,4407.0,2753000.0,4407.0,4203.95
2015-12-07,4424.0,4523.0,4415.0,4514.0,2717300.0,4514.0,4214.04
2015-12-08,4525.0,4527.0,4413.0,4420.0,3014900.0,4420.0,4222.6
2015-12-09,4401.0,4461.0,4341.0,4352.0,3401800.0,4352.0,4226.72
2015-12-10,4338.0,4371.0,4320.0,4345.0,2356700.0,4345.0,4231.12
2015-12-11,4275.0,4381.0,4256.0,4368.0,6725100.0,4368.0,4239.26
2015-12-14,4298.0,4412.0,4293.0,4391.0,4533100.0,4391.0,4253.18
2015-12-15,4401.0,4417.0,4319.0,4319.0,3391100.0,4319.0,4268.1
2015-12-16,4389.0,4546.0,4381.0,4532.0,4792000.0,4532.0,4286.88
2015-12-17,4602.0,4677.0,4574.0,4643.0,4612300.0,4643.0,4306.14
2015-12-18,4614.0,4705.0,4482.0,4488.0,5048200.0,4488.0,4319.96
2015-12-21,4487.0,4520.0,4420.0,4480.0,3322200.0,4480.0,4329.68
2015-12-22,4479.0,4519.0,4435.0,4478.0,2365100.0,4478.0,4340.5
2015-12-24,4502.0,4516.0,4435.0,4475.0,3522300.0,4475.0,4347.74
2015-12-25,4510.0,4518.0,4462.0,4493.0,1795900.0,4493.0,4356.86
2015-12-28,4440.0,4468.0,4395.0,4406.0,1387600.0,4406.0,4365.86
2015-12-29,4393.0,4407.0,4335.0,4404.0,2058800.0,4404.0,4372.7
2015-12-30,4439.0,4518.0,4432.0,4471.0,3586800.0,4471.0,4380.82
2016-01-04,4480.0,4487.0,4300.0,4328.0,3131700.0,4328.0,4386.82
